Recommendation Area,Policy Number,Policy Description,Strategy Number,Strategy,Timeline,Status,Implementor 1,Implementor 2,Implementor 3,Implementor 4,Implementor 5,Implementor 6,
Natural and Water Resources,,To coordinate with neighboring communities and regional and state resource agencies to protect shared critical natural resources,2.2,Pursue public/private partnerships to protect critical resources through land purchases or easements,Mid-term,Need Update,Town Manager,Town Planner,Town Council,Conservation Commission,,,#N/A
Natural and Water Resources,,To coordinate with neighboring communities and regional and state resource agencies to protect shared critical natural resources,2.3,Distribute information on tax programs and regulations to those near critical resources,Mid-term,Need Update,Town Manager,Town Assessor,Executive Assistant,,,,#N/A
Natural and Water Resources,,To coordinate with neighboring communities and regional and state resource agencies to protect shared critical natural resources,2.4,Cooperate with the state and local organizations to protect lakes and lands from invasive species,Ongoing,Need Update,Town Manager,Town Council,Conservation Commission,,,,#N/A
Natural and Water Resources,,To coordinate with neighboring communities and regional and state resource agencies to protect shared critical natural resources,2.5,Maintain membership and collaboration with CWD and KLT,Ongoing,Need Update,Town Manager,Town Council,Conservation Commission,,,,#N/A
Natural and Water Resources,3,To protect current and potential drinking water sources,3.1,Adopt stormwater performance standards consistent with Maine law and phosphorus allocation requirements,Short term,Need Update,Town Planner,Planning Board,Town Council,CEO,,,#N/A
Natural and Water Resources,,To protect current and potential drinking water sources,3.2,Maintain protection standards for groundwater and toxic material storage,Ongoing,Need Update,Planning Board,Town Planner,CEO,,,,#N/A
Natural and Water Resources,4,To protect significant surface water resources from pollution and improve water quality where needed,4.1,Amend ordinances to incorporate low-impact development standards,Short term,Need Update,Town Planner,Planning Board,Town Council,CEO,,,#N/A
Natural and Water Resources,,To protect significant surface water resources from pollution and improve water quality where needed,4.2,Develop a management plan for urban-impaired streams,Mid-term,Need Update,Town Planner,Planning Board,Conservation Commission,,,,#N/A
Natural and Water Resources,,To protect significant surface water resources from pollution and improve water quality where needed,4.3,Survey and map significant vernal pools,Long term,Need Update,Conservation Commission,,,,,,#N/A
Natural and Water Resources,5,To protect water resources in growth areas while promoting more intensive development in those areas,5.1,Maintain or amend wellhead and aquifer recharge area protections,Mid-term,Need Update,Town Planner,Planning Board,CEO,,,,#N/A
Natural and Water Resources,,To protect water resources in growth areas while promoting more intensive development in those areas,5.2,Provide local information on water quality BMPs to landowners,Ongoing,Need Update,Town Planner,Conservation Commission,CEO,,,,#N/A
Natural and Water Resources,,To protect water resources in growth areas while promoting more intensive development in those areas,5.3,Amend ordinances to incorporate LID design standards,Short term,Need Update,Town Planner,Planning Board,CEO,,,,#N/A
Natural and Water Resources,,To protect water resources in growth areas while promoting more intensive development in those areas,5.4,Maintain flexible land-use standards to protect lake water quality,Short term,Need Update,Town Planner,Planning Board,CEO,,,,#N/A
Natural and Water Resources,,To protect water resources in growth areas while promoting more intensive development in those areas,5.5,Incorporate LID standards into Land Use Ordinance,Short term,Need Update,Town Planner,Planning Board,Town Council,CEO,,,#N/A
Natural and Water Resources,,To protect water resources in growth areas while promoting more intensive development in those areas,5.6,Maintain standards for land clearing and earth-moving in lake watersheds,Ongoing,Need Update,Town Planner,Planning Board,CEO,,,,#N/A
Natural and Water Resources,,To protect water resources in growth areas while promoting more intensive development in those areas,5.7,Use DEP phosphorus control handbook to guide development standards,Ongoing,Need Update,Town Planner,Planning Board,CEO,,,,#N/A
Natural and Water Resources,,To protect water resources in growth areas while promoting more intensive development in those areas,5.8,Continue work with CWD to manage phosphorus loading,Ongoing,Need Update,Town Planner,Planning Board,Town Council,CEO,,,#N/A
Natural and Water Resources,6,To minimize pollution discharges through the upgrade of existing public sewer systems and wastewater treatment facilities,6.1,Adopt standards for construction and maintenance of roads and properties to protect water quality,Short term,Need Update,Town Planner,Planning Board,Town Council,CEO,,,#N/A
Natural and Water Resources,,To minimize pollution discharges through the upgrade of existing public sewer systems and wastewater treatment facilities,6.2,Require septic inspection reports for title transfers in shoreland districts,Short term,Need Update,Town Planner,Planning Board,Town Council,Public Works Director,CEO,,#N/A
Natural and Water Resources,,To minimize pollution discharges through the upgrade of existing public sewer systems and wastewater treatment facilities,6.3,Seek funds to assist voluntary upgrades of inadequate septic systems,Ongoing,Need Update,Town Manager,Town Council,,,,,#N/A
Natural and Water Resources,7,To cooperate with neighboring communities and regional/local advocacy groups to protect water resources,7.1,Participate in local and regional efforts to monitor and improve water quality,Ongoing,Need Update,Town Manager,Town Council,Conservation Commission,,,,#N/A
Natural and Water Resources,,To cooperate with neighboring communities and regional/local advocacy groups to protect water resources,7.2,Provide educational materials regarding aquatic invasive species,Mid-term,Need Update,Conservation Commission,,,,,,#N/A
Land Use,1,Coordinate the community’s land-use strategies with other local and regional land-use planning efforts.,1.1,"Assign responsibility for implementing the Future Land Use Plan to the appropriate committee, board, or municipal official.",Short term,Need Update,Town Planner,Town Manager,Planning Board,Town Council,,,
Land Use, ,Coordinate the community’s land-use strategies with other local and regional land-use planning efforts.,1.2,Meet with neighboring communities to coordinate land-use designations and regulatory and non-regulatory strategies.,Mid-term,Need Update,Town Planner,Town Manager,Planning Board,Town Council,,,
Land Use,2,"Support the locations, types, scales, and intensities of land uses the community desires as stated in its vision.",2.1,"Using the descriptions provided in the Future Land Use Plan narrative, maintain, enact, or amend local ordinances as appropriate.",Short term,Need Update,Town Planner,Town Manager,Planning Board,CEO,Town Council,,
Land Use, ,"Support the locations, types, scales, and intensities of land uses the community desires as stated in its vision.",2.2,"Periodically evaluate implementation of the plan in accordance with the Chapter 208 Comprehensive Plan Review Criteria Rule, Section 207.",Ongoing,Need Update,Town Planner,Town Manager,Planning Board,Town Council,Comprehensive Plan Implementation Committee,,
Land Use, ,"Support the locations, types, scales, and intensities of land uses the community desires as stated in its vision.",2.3,"Foster, promote, and encourage recently established retail development in appropriate areas.",Ongoing,Need Update,Town Manager,Town Council,Planning Board,Town Planner,,,
Land Use, ,"Support the locations, types, scales, and intensities of land uses the community desires as stated in its vision.",2.4,Investigate grant opportunities to extend public sewer and water lines to growth areas.,Ongoing,Need Update,Town Manager,Town Council,Planning Board,Town Planner,,,
Land Use, ,"Support the locations, types, scales, and intensities of land uses the community desires as stated in its vision.",2.5,Use the online permitting system to create reports detailing permit types and locations.,Short term,Need Update,Town Planner,CEO,Executive Assistant,,,,
Land Use, ,"Support the locations, types, scales, and intensities of land uses the community desires as stated in its vision.",2.6,Appoint a Comprehensive Plan Implementation Committee to work with the Planning Board.,Short term,Need Update,Town Manager,Town Council,Planning Board,Town Planner,CEO,,
Land Use, ,"Support the locations, types, scales, and intensities of land uses the community desires as stated in its vision.",2.7,Explore the usefulness of developing a Site Plan Review Ordinance.,Mid-term,Need Update,Town Manager,Town Council,Planning Board,Town Planner,CEO,,
Land Use,3,Support the level of financial commitment necessary to provide needed infrastructure in growth areas.,3.1,Direct a minimum of 75% of new municipal growth-related capital investments into designated growth areas.,Short term,Need Update,Town Manager,Town Council,Planning Board,Town Planner,,,
Land Use, ,Support the level of financial commitment necessary to provide needed infrastructure in growth areas.,3.2,Include in the Capital Investment Plan anticipated municipal capital investments needed to support proposed land uses.,Short term,Need Update,Town Manager,Town Planner,Department Directors,Planning Board,Town Council,,
Land Use, ,Support the level of financial commitment necessary to provide needed infrastructure in growth areas.,3.3,Work with the Chamber of Commerce and other entities to improve village amenities and reduce vacancies.,Ongoing,Need Update,Town Manager,Town Council,Town Planner,,,,
Land Use, ,Support the level of financial commitment necessary to provide needed infrastructure in growth areas.,3.4,Consider appointing a Town Council liaison to collaborate with the Chamber of Commerce.,Mid-term,Need Update,Town Council,Town Manager,Public Works Director,,,,
Land Use, ,Support the level of financial commitment necessary to provide needed infrastructure in growth areas.,3.5,"Prioritize road improvements to favor growth areas, possibly via a Roads Committee.",Mid-term,Need Update,Town Council,Town Manager,Public Works Director,Roads Committee,,,
Land Use,4,"Establish efficient permitting procedures, especially in growth areas.",4.1,"Provide the Code Enforcement Officer with tools, training, and support necessary to enforce land use regulations and ensure certification.",Ongoing,Need Update,Town Manager,Code Enforcement Officer,Planning Board,,,,
Land Use, ,"Establish efficient permitting procedures, especially in growth areas.",4.2,Update the Zoning and Subdivision Ordinances to make them clearer and reduce barriers in permit application.,Short term,Need Update,Town Manager,Planning Board,Town Planner,CEO,Town Council,,
Land Use,5,Protect critical rural and critical waterfront areas from the impacts of development.,5.1,Track new development in the community by type and location.,Ongoing,Need Update,Town Planner,Code Enforcement Officer,Executive Assistant,,,,
Land Use, ,Protect critical rural and critical waterfront areas from the impacts of development.,5.2,Update and modernize existing zoning maps to comply with Shoreland Zoning mandates and incorporate local zoning changes.,Short term,Need Update,Town Planner,Code Enforcement Officer,,,,,
Land Use, ,Protect critical rural and critical waterfront areas from the impacts of development.,5.3,Consider reviewing and updating tax maps either annually or biannually and make updated maps publicly available.,Short term,Need Update,Town Manager,Town Council,Assessor,,,,
Land Use,6,Evaluate the existing Zoning Ordinance for areas of improvement and consider goals of amendments.,6.1,Consider amending the Zoning Ordinance to allow for different zoning techniques such as Planned Development Districts or Zoning Overlays.,Short term,Need Update,Town Manager,Town Planner,Planning Board,Town Council,,,
Land Use, ,Evaluate the existing Zoning Ordinance for areas of improvement and consider goals of amendments.,6.2,Review lot sizes in all zoning districts to ensure they align with town goals.,Short term,Need Update,Town Manager,Town Council,Town Planner,Planning Board,,,
Land Use, ,Evaluate the existing Zoning Ordinance for areas of improvement and consider goals of amendments.,6.3,Consider appropriate areas for reduction of lot sizes to encourage affordable housing.,Short term,Need Update,Town Planner,Planning Board,Town Manager,Town Council,,,
Land Use, ,Evaluate the existing Zoning Ordinance for areas of improvement and consider goals of amendments.,6.4,Explore possibility of reducing minimum lot size requirements in the General Residential District based on sewer access.,Short term,Need Update,Town Planner,Planning Board,Town Council,Town Manager,,,
Land Use, ,Evaluate the existing Zoning Ordinance for areas of improvement and consider goals of amendments.,6.5,Consider allowing more dense development near town amenities and the village.,Short term,Need Update,Town Planner,Planning Board,Town Council,Town Manager,,,
Land Use, ,Evaluate the existing Zoning Ordinance for areas of improvement and consider goals of amendments.,6.6,Consider amending the Zoning Ordinance to streamline permitting for additional dwelling units.,Short term,Need Update,Town Planner,Planning Board,Code Enforcement Officer,Town Council,,,
Land Use, ,Evaluate the existing Zoning Ordinance for areas of improvement and consider goals of amendments.,6.7,Consider revising the Zoning Ordinance to streamline conversion of single-family homes to multifamily homes.,Short term,Need Update,Town Planner,Planning Board,Code Enforcement Officer,Town Council,Town Manager,,
Land Use, ,Evaluate the existing Zoning Ordinance for areas of improvement and consider goals of amendments.,6.8,Amend Zoning and Subdivision Ordinances to clearly define growth vs. rural areas.,Short term,Need Update,Town Planner,Planning Board,Town Council,,,,
Land Use, ,Evaluate the existing Zoning Ordinance for areas of improvement and consider goals of amendments.,6.9,"Review all town land use ordinances for updates to definitions, technologies, and standards.",Short term,Need Update,Town Manager,Town Council,Planning Board,Town Planner,CEO,,
Land Use,7,Work with developers to increase the mixture of types of housing units.,7.1,"Explore options for increasing availability of right-sized housing for different needs (workforce, senior, singles).",Mid-term,Need Update,Town Manager,Town Planner,Town Council,Planning Board,,,
Land Use, ,Work with developers to increase the mixture of types of housing units.,7.2,Encourage that a percentage of newly developed housing units be designated for seniors.,Mid-term,Need Update,Town Manager,Town Council,Town Planner,Planning Board,,,
Land Use, ,Work with developers to increase the mixture of types of housing units.,7.3,"Promote senior housing near stores, health services, and other needed services.",Mid-term,Need Update,Town Manager,Town Planner,Planning Board,Town Council,,,
Land Use, ,Work with developers to increase the mixture of types of housing units.,7.4,Encourage construction of additional right-sized dwelling units.,Short term,Need Update,Town Manager,Town Planner,Planning Board,Town Council,CEO,,
Land Use, ,Work with developers to increase the mixture of types of housing units.,7.5,Encourage mixed-use housing in the Village District and Commerce Center (former Carleton Mill).,Short term,Need Update,Town Manager,Town Planner,Planning Board,Town Council,CEO,,
Land Use, ,Work with developers to increase the mixture of types of housing units.,7.6,Explore possibility of working with regional housing authorities like Augusta or Lewiston Housing Authority.,Mid-term,Need Update,Town Manager,Town Council,Planning Board,Town Planner,,,
Land Use, ,Work with developers to increase the mixture of types of housing units.,7.7,Promote development or redevelopment of right-sized housing for single-person households.,Mid-term,Need Update,Town Manager,Town Council,Planning Board,Town Planner,,,
Land Use, ,Work with developers to increase the mixture of types of housing units.,7.8,Continue promoting cluster development to reduce environmental impact.,Ongoing,Need Update,Planning Board,Town Planner,CEO,,,,
Land Use,8,Ensure all new amendments to Zoning and other ordinances require utmost protection of natural resources.,8.1,"Do not reduce lot sizes in Public Water, Resource Protection, Shoreland, and Stream Protection districts.",Short term,Need Update,Town Planner,Planning Board,Town Council,Town Manager,CEO,,
Land Use, ,Ensure all new amendments to Zoning and other ordinances require utmost protection of natural resources.,8.2,Ensure Shoreland Zoning is upheld for any new development or construction.,Ongoing,Need Update,Planning Board,Town Planner,Code Enforcement Officer,,,,
Land Use, ,Ensure all new amendments to Zoning and other ordinances require utmost protection of natural resources.,8.3,Regularly review Shoreland Zoning restrictions for regulatory compliance and appropriateness.,Ongoing,Need Update,Planning Board,Town Planner,Code Enforcement Officer,,,,
Land Use, ,Ensure all new amendments to Zoning and other ordinances require utmost protection of natural resources.,8.4,Require septic system inspections on property transfers in Shoreland Zones; address substandard systems.,Short term,Need Update,Code Enforcement Officer,Town Manager,Town Planner,,,,
Land Use, ,Ensure all new amendments to Zoning and other ordinances require utmost protection of natural resources.,8.5,Consider setting maximum percentages for impervious surfaces to protect waterbodies.,Short term,Need Update,Town Manager,Town Council,Town Planner,Planning Board,CEO,,
Land Use, ,Ensure all new amendments to Zoning and other ordinances require utmost protection of natural resources.,8.6,Explore developing an Open Space Plan.,Mid-term,Need Update,Town Manager,Town Council,Conservation Commission,Town Planner,,,
Land Use, ,Ensure all new amendments to Zoning and other ordinances require utmost protection of natural resources.,8.7,Ensure critical natural areas are designated as Critical Resource Areas on zoning maps.,Short term,Need Update,Town Planner,Planning Board,CEO,,,,
